Title,Mu,Flesch,Frases,Palabras,Sinonimos,Abreviaturas,Siglas,Infinitive_Verbs_number,Gerund_Verbs_number,Participle_Verbs_number,Articles_number,Preposition_number,Noun,Desconocidas,Tipo
AdministraciónPúblicaElectrónicaH,36.47,24.8,15,541,2.033271719038817,0.18484288354898337,0.7393715341959335,0,0,0,0,0,0,32.34750462107209,Dificil
AnularCitaPreviaINEMH,75.86,19.3,1,47,0.0,0.0,6.382978723404255,0,0,0,0,0,0,25.53191489361702,Dificil
APPAgenciaTributariaRenta2019H,46.72,16.2,42,1098,1.366120218579235,1.366120218579235,3.0054644808743167,0,0,0,0,0,0,29.690346083788707,Dificil
APREH,41.24,15.7,38,685,2.9197080291970803,0.145985401459854,1.167883211678832,0,0,0,0,0,0,26.423357664233578,Dificil
AutocalculoPrestacionesParoH,47.1,19.0,8,224,0.8928571428571429,1.3392857142857142,1.3392857142857142,0,0,0,0,0,0,24.553571428571427,Dificil
AutonomosAcreditarCeseFacilH,32.18,87.6,6,221,2.262443438914027,0.0,1.3574660633484164,0,0,0,0,0,0,21.71945701357466,Dificil
AyudaFamiliarDesempleadosH,41.18,17.1,26,620,1.1290322580645162,1.4516129032258065,0.8064516129032258,0,0,0,0,0,0,29.193548387096776,Dificil
AyudaLiberadosPrisionH,43.24,21.5,24,667,1.4992503748125936,1.7991004497751124,1.0494752623688155,0,0,0,0,0,0,27.586206896551722,Dificil
AyudasAlquilerViviendaH,53.29,17.7,4,161,0.6211180124223602,0.0,1.8633540372670807,0,0,0,0,0,0,39.75155279503105,Dificil
AyudasAutonomosParoFacilH,38.88,20.7,22,595,1.5126050420168067,0.16806722689075632,1.0084033613445378,0,0,0,0,0,0,28.403361344537814,Dificil
AyudasDesempleadosMayores45H,42.66,17.8,24,570,1.2280701754385965,1.2280701754385965,1.4035087719298245,0,0,0,0,0,0,29.12280701754386,Dificil
AyudasDespuesParoH,41.26,16.9,26,608,1.1513157894736843,1.480263157894737,0.8223684210526315,0,0,0,0,0,0,28.782894736842106,Dificil
AyudasEmigrantesRetornadosH,42.63,21.6,16,386,0.5181347150259067,2.0725388601036268,0.0,0,0,0,0,0,0,31.34715025906736,Dificil
AyudasParadosLargaDuracionH,42.36,18.3,28,524,1.3358778625954197,3.816793893129771,0.9541984732824428,0,0,0,0,0,0,27.099236641221374,Dificil
AyudasRetornoHumanitarioH,37.31,43.7,38,1397,2.5053686471009304,2.290622763063708,0.4294917680744452,0,0,0,0,0,0,29.63493199713672,Dificil
AyudasVictimasViolenciaGeneroFacilH,50.01,20.4,13,450,2.0,3.111111111111111,0.6666666666666666,0,0,0,0,0,0,23.11111111111111,Dificil
BecasParoH,42.64,31.0,10,422,0.9478672985781991,2.6066350710900474,0.47393364928909953,0,0,0,0,0,0,31.04265402843602,Dificil
BuscarConvenioColectivoH,42.16,178.4,6,472,1.0593220338983051,3.6016949152542375,2.1186440677966103,0,0,0,0,0,0,38.13559322033898,Dificil
CalendarioDelContribuyenteH,40.13,23.3,238,6334,0.8209662140827282,1.9892642879696874,1.1998736975055257,0,0,0,0,0,0,39.89580044205873,Dificil
CambioDomicilioINEMH,48.4,16.0,4,142,2.816901408450704,0.704225352112676,2.816901408450704,0,0,0,0,0,0,21.830985915492956,Dificil
CertificadoDefuncionH,42.95,21.0,4,151,1.3245033112582782,0.0,0.6622516556291391,0,0,0,0,0,0,23.841059602649008,Dificil
CertificadoDelitosSexualesH,44.67,30.8,6,370,2.1621621621621623,1.0810810810810811,0.5405405405405406,0,0,0,0,0,0,28.10810810810811,Dificil
CertificadoDigitalFacilH,45.71,20.9,16,337,0.0,1.1869436201780414,1.4836795252225519,0,0,0,0,0,0,33.531157270029674,Dificil
