Title,Mu,Flesch,N_Frases,N_Palabras,Por_Sinonimos,Por_Abreviaturas,Por_Siglas,Infinitive_Verbs_number,Gerund_Verbs_number,Participle_Verbs_number,Articles_number,Preposition_number,Noun,Por_Desconocidas,Por_Largas,Por_Superlativos,Por_Adverbios,Por_Simbolos,Mayusuculas_NoSiglas,Por_Inderterminados,Por_numeros,Por_complex,Por_muy_frecuentes,Por_frecuentes,Por_poco_frecuentes,Por_comillas,Tipo
AdministraciónPúblicaElectrónicaH,36.47,24.8,15,541,4.805914972273568,0.18484288354898337,0.7393715341959335,0,0,0,0,0,0,32.34750462107209,4.805914972273568,0.0,0.36968576709796674,1.6635859519408502,1.1090573012939002,0.0,1.1090573012939002,0.0,85.39741219963031,0.7393715341959335,0.18484288354898337,0.0,Dificil
AnularCitaPreviaINEMH,75.86,19.3,1,47,0.0,0.0,6.382978723404255,0,0,0,0,0,0,25.53191489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1063829787234,4.25531914893617,4.25531914893617,0.0,Dificil
APPAgenciaTributariaRenta2019H,46.72,16.2,42,1098,3.1876138433515484,1.366120218579235,3.0054644808743167,0,0,0,0,0,0,29.690346083788707,0.546448087431694,0.0,0.546448087431694,0.7285974499089253,0.36429872495446264,0.0,1.366120218579235,0.0,83.87978142076503,2.276867030965392,0.4553734061930783,0.0,Dificil
APREH,41.24,15.7,38,685,7.445255474452555,0.145985401459854,1.313868613138686,0,0,0,0,0,0,26.423357664233578,1.7518248175182483,0.0,0.291970802919708,0.8759124087591241,1.897810218978102,0.0,2.335766423357664,0.0,85.54744525547446,0.583941605839416,0.145985401459854,0.0,Dificil
AutocalculoPrestacionesParoH,47.1,19.0,8,224,1.3392857142857142,1.3392857142857142,1.3392857142857142,0,0,0,0,0,0,24.553571428571427,0.0,0.0,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,87.05357142857143,0.44642857142857145,1.7857142857142858,0.0,Dificil
AutonomosAcreditarCeseFacilH,32.18,87.6,6,221,4.524886877828054,0.0,1.3574660633484164,0,0,0,0,0,0,21.71945701357466,1.3574660633484164,0.0,0.45248868778280543,0.9049773755656109,0.9049773755656109,0.0,0.9049773755656109,0.0,89.14027149321267,0.9049773755656109,0.0,0.0,Dificil
AyudaFamiliarDesempleadosH,41.18,17.1,26,620,2.7419354838709675,1.4516129032258065,0.8064516129032258,0,0,0,0,0,0,29.193548387096776,1.6129032258064515,0.0,0.16129032258064516,1.1290322580645162,0.6451612903225806,0.0,0.4838709677419355,0.0,84.6774193548387,0.967741935483871,0.8064516129032258,0.0,Dificil
AyudaLiberadosPrisionH,43.24,21.5,24,667,4.047976011994003,1.7991004497751124,1.0494752623688155,0,0,0,0,0,0,27.586206896551722,1.199400299850075,0.0,0.14992503748125938,1.0494752623688155,0.29985007496251875,0.0,0.7496251874062968,0.0,86.3568215892054,0.7496251874062968,0.7496251874062968,0.0,Dificil
AyudasAlquilerViviendaH,53.29,17.7,4,161,3.1055900621118013,0.0,1.8633540372670807,0,0,0,0,0,0,39.75155279503105,0.0,0.0,0.0,1.8633540372670807,0.0,0.0,7.453416149068323,0.0,76.3975155279503,0.0,0.0,0.0,Dificil
AyudasAutonomosParoFacilH,38.88,20.7,22,595,4.705882352941177,0.16806722689075632,1.0084033613445378,0,0,0,0,0,0,28.403361344537814,0.8403361344537815,0.0,0.33613445378151263,1.0084033613445378,0.6722689075630253,0.0,2.857142857142857,0.0,85.04201680672269,0.33613445378151263,0.0,0.0,Dificil
AyudasDesempleadosMayores45H,42.66,17.8,24,570,2.6315789473684212,1.2280701754385965,1.5789473684210527,0,0,0,0,0,0,29.12280701754386,1.2280701754385965,0.0,0.17543859649122806,1.0526315789473684,0.7017543859649122,0.0,1.0526315789473684,0.0,84.91228070175438,1.0526315789473684,0.7017543859649122,0.0,Dificil
AyudasDespuesParoH,41.26,16.9,26,608,2.7960526315789473,1.480263157894737,0.8223684210526315,0,0,0,0,0,0,28.782894736842106,1.644736842105263,0.0,0.16447368421052633,1.1513157894736843,0.6578947368421053,0.0,0.4934210526315789,0.0,84.86842105263158,0.9868421052631579,0.6578947368421053,0.0,Dificil
AyudasEmigrantesRetornadosH,42.63,21.6,16,386,0.7772020725388601,2.0725388601036268,0.25906735751295334,0,0,0,0,0,0,31.34715025906736,1.8134715025906736,0.0,0.0,0.7772020725388601,1.0362694300518134,0.0,1.0362694300518134,0.0,85.23316062176166,0.7772020725388601,1.2953367875647668,0.0,Dificil
AyudasParadosLargaDuracionH,42.36,18.3,28,524,4.3893129770992365,3.816793893129771,0.9541984732824428,0,0,0,0,0,0,27.099236641221374,0.7633587786259542,0.0,0.7633587786259542,1.1450381679389312,0.7633587786259542,0.0,2.8625954198473282,0.0,82.63358778625954,0.7633587786259542,0.3816793893129771,0.0,Dificil
AyudasRetornoHumanitarioH,37.31,43.7,38,1397,6.0844667143879745,2.290622763063708,0.4294917680744452,0,0,0,0,0,0,29.63493199713672,2.5053686471009304,0.0,0.35790980672870437,1.0737294201861132,1.0021474588403723,0.0,1.8611309949892627,0.0,85.89835361488905,0.4294917680744452,0.35790980672870437,0.0,Dificil
