Title,Por_Sinonimos,Por_Abreviaturas,Por_Siglas,Por_verbs,Infinitive_Verbs_number,Gerund_Verbs_number,Participle_Verbs_number,Articles_number,Preposition_number,Noun,Por_Desconocidas,Por_Largas,Por_Superlativos,Por_Adverbios,Por_Simbolos,Mayusuculas_NoSiglas,Por_Inderterminados,Por_numeros,Por_complex,Por_muy_frecuentes,Por_frecuentes,Por_poco_frecuentes,Por_comillas,Por_Homo,Ratio_Palabra_Frases,Ratio_Caracteres_Palabra,Tipo
AdministraciónPúblicaElectrónicaH,4.805914972273568,0.18484288354898337,0.9242144177449169,7.208872458410351,1.2939001848428835,0.5545286506469501,2.033271719038817,14.048059149722736,18.299445471349355,30.129390018484287,5.175600739371534,4.805914972273568,0.0,0.36968576709796674,1.6635859519408502,0.9242144177449169,0.0,1.1090573012939002,0.0,85.39741219963031,0.7393715341959335,0.18484288354898337,0.0,1.6635859519408502,36.06666666666667,5.146025878003697,Dificil
AnularCitaPreviaINEMH,0.0,0.0,6.382978723404255,12.76595744680851,2.127659574468085,0.0,0.0,14.893617021276595,12.76595744680851,21.27659574468085,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1063829787234,4.25531914893617,4.25531914893617,0.0,0.0,47.0,3.9148936170212765,Dificil
APPAgenciaTributariaRenta2019H,3.1876138433515484,1.366120218579235,3.0054644808743167,13.752276867030965,3.0054644808743167,0.36429872495446264,1.8214936247723132,14.025500910746812,17.03096539162113,25.591985428051,3.916211293260474,0.546448087431694,0.0,0.546448087431694,0.7285974499089253,0.36429872495446264,0.0,1.366120218579235,0.0,83.87978142076503,2.276867030965392,0.4553734061930783,0.0,1.639344262295082,26.142857142857142,4.337887067395264,Dificil
APREH,7.445255474452555,0.145985401459854,1.313868613138686,7.883211678832117,2.335766423357664,0.0,2.627737226277372,10.072992700729927,22.48175182481752,31.240875912408757,3.6496350364963503,1.7518248175182483,0.0,0.291970802919708,0.8759124087591241,1.897810218978102,0.0,2.335766423357664,0.0,85.54744525547446,0.583941605839416,0.145985401459854,0.0,2.9197080291970803,18.026315789473685,4.887591240875913,Dificil
AutocalculoPrestacionesParoH,1.3392857142857142,1.3392857142857142,1.3392857142857142,13.839285714285714,2.232142857142857,0.0,0.8928571428571429,12.946428571428571,15.625,25.892857142857142,0.8928571428571429,0.0,0.0,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,87.05357142857143,0.44642857142857145,1.7857142857142858,0.0,4.464285714285714,28.0,4.700892857142857,Dificil
AutonomosAcreditarCeseFacilH,4.524886877828054,0.0,1.3574660633484164,10.85972850678733,2.262443438914027,0.45248868778280543,3.6199095022624435,16.289592760180994,19.457013574660632,30.316742081447963,3.6199095022624435,1.3574660633484164,0.0,0.45248868778280543,0.9049773755656109,0.9049773755656109,0.0,0.9049773755656109,0.0,89.14027149321267,0.9049773755656109,0.0,0.0,0.9049773755656109,36.833333333333336,5.158371040723982,Dificil
AyudaFamiliarDesempleadosH,2.7419354838709675,1.4516129032258065,0.8064516129032258,11.290322580645162,3.225806451612903,0.0,2.4193548387096775,13.064516129032258,19.35483870967742,25.0,2.5806451612903225,1.6129032258064515,0.0,0.16129032258064516,1.1290322580645162,0.6451612903225806,0.0,0.4838709677419355,0.0,84.6774193548387,0.967741935483871,0.8064516129032258,0.0,2.4193548387096775,23.846153846153847,4.803225806451613,Dificil
AyudaLiberadosPrisionH,4.047976011994003,1.7991004497751124,1.0494752623688155,11.544227886056971,2.548725637181409,0.14992503748125938,3.2983508245877062,13.193403298350825,19.640179910044978,25.63718140929535,3.1484257871064467,1.199400299850075,0.0,0.14992503748125938,1.0494752623688155,0.29985007496251875,0.0,0.7496251874062968,0.0,86.3568215892054,0.7496251874062968,0.7496251874062968,0.0,1.949025487256372,27.791666666666668,4.643178410794603,Dificil
AyudasAlquilerViviendaH,3.1055900621118013,0.0,1.8633540372670807,4.968944099378882,1.8633540372670807,0.0,2.484472049689441,8.695652173913043,21.73913043478261,29.19254658385093,15.527950310559007,0.0,0.0,0.0,1.8633540372670807,0.0,0.0,7.453416149068323,0.0,76.3975155279503,0.0,0.0,0.0,3.7267080745341614,40.25,4.701863354037267,Dificil
AyudasAutonomosParoFacilH,4.705882352941177,0.16806722689075632,1.0084033613445378,7.394957983193278,1.0084033613445378,0.16806722689075632,2.3529411764705883,13.445378151260504,20.0,29.07563025210084,5.546218487394958,0.8403361344537815,0.0,0.33613445378151263,1.0084033613445378,0.6722689075630253,0.0,2.857142857142857,0.0,85.04201680672269,0.33613445378151263,0.0,0.0,1.0084033613445378,27.045454545454547,4.963025210084034,Dificil
AyudasDesempleadosMayores45H,2.6315789473684212,1.2280701754385965,1.5789473684210527,11.403508771929825,2.807017543859649,0.0,2.982456140350877,12.807017543859649,19.29824561403509,25.614035087719298,3.3333333333333335,1.2280701754385965,0.0,0.17543859649122806,1.0526315789473684,0.7017543859649122,0.0,1.0526315789473684,0.0,84.91228070175438,1.0526315789473684,0.7017543859649122,0.0,2.456140350877193,23.75,4.719298245614035,Dificil
AyudasDespuesParoH,2.7960526315789473,1.480263157894737,0.8223684210526315,11.348684210526315,3.289473684210526,0.0,2.4671052631578947,13.322368421052632,19.736842105263158,25.0,2.6315789473684212,1.644736842105263,0.0,0.16447368421052633,1.1513157894736843,0.6578947368421053,0.0,0.4934210526315789,0.0,84.86842105263158,0.9868421052631579,0.6578947368421053,0.0,2.4671052631578947,23.384615384615383,4.797697368421052,Dificil
AyudasEmigrantesRetornadosH,0.7772020725388601,2.0725388601036268,0.25906735751295334,9.32642487046632,1.8134715025906736,0.0,2.5906735751295336,12.953367875647668,17.357512953367877,26.16580310880829,3.626943005181347,1.8134715025906736,0.0,0.0,0.7772020725388601,1.0362694300518134,0.0,1.0362694300518134,0.0,85.23316062176166,0.7772020725388601,1.2953367875647668,0.0,1.5544041450777202,24.125,4.862694300518135,Dificil
AyudasParadosLargaDuracionH,4.3893129770992365,3.816793893129771,0.9541984732824428,9.16030534351145,2.2900763358778624,0.0,3.6259541984732824,8.587786259541986,18.702290076335878,26.717557251908396,4.3893129770992365,0.7633587786259542,0.0,0.7633587786259542,1.1450381679389312,0.7633587786259542,0.0,2.8625954198473282,0.0,82.63358778625954,0.7633587786259542,0.3816793893129771,0.0,3.2442748091603053,18.714285714285715,4.6603053435114505,Dificil
AyudasRetornoHumanitarioH,6.0844667143879745,2.290622763063708,0.4294917680744452,8.876163206871869,2.3622047244094486,0.2147458840372226,2.290622763063708,10.307802433786685,19.613457408732998,27.415891195418755,4.294917680744453,2.5053686471009304,0.0,0.35790980672870437,1.0737294201861132,1.0021474588403723,0.0,1.8611309949892627,0.0,85.89835361488905,0.4294917680744452,0.35790980672870437,0.0,1.8611309949892627,36.76315789473684,5.171080887616321,Dificil
