ATENCIÓN TELEFÓNICA: CITA PREVIA
Provincia
Origen	CITA PREVIA
901 010 210
Número geográfico
ALAVA	945 750 579
ALBACETE	967 750 579
ALICANTE	965 000 579
ALMERIA	950 750 579
AVILA	920 750 779
BADAJOZ	924 990 579
BALEARES	971 980 779
BARCELONA	936 190 579
BURGOS	947 750 879
CACERES	927 750 579
CADIZ	956 992 579
CASTELLON	964 750 579
CIUDAD REAL	926 990 579
CORDOBA	957 990 579
CORUÑA	981 995 579
CUENCA	969 750 579
GIRONA	972 068 679
GRANADA	958 900 879
GUADALAJARA	949 750 979
GIPUZKOA	943 980 579
HUELVA	959 750 579
HUESCA	974 750 579
JAEN	953 990 579
LEON	987 990 579
LLEIDA	973 990 479
LA RIOJA	941 750 579
LUGO	982 750 779
MADRID	910 504 579
MALAGA	952 998 679
MURCIA	968 991 579
NAVARRA	948 990 579
ORENSE	988 750 579
ASTURIAS	984 751 579
PALENCIA	979 990 579
LAS PALMAS	928 990 579
PONTEVEDRA	986 981 579
SALAMANCA	923 750 579
TENERIFE	922 990 579
CANTABRIA	942 990 579
SEGOVIA	921 750 579
SEVILLA	955 563 579
SORIA	975 750 579
TARRAGONA	977 990 979
TERUEL	978 990 579
TOLEDO	925 990 579
VALENCIA	963 085 779
VALLADOLID	983 990 979
BIZKAIA	944 506 579
ZAMORA	980 750 579
ZARAGOZA	976 998 979
CEUTA	956 984 979
MELILLA	952 990 779
